Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_013397535.1	ASM1339753v1	Pterocles burchelli					B10K-DU-027-49		Annotation submitted by B10K Consortium	1101016587	Scaffold	2020-07-10	VYZE01
GCA_013397415.1	ASM1339741v1	Neopipo cinnamomea					B10K-DU-004-15	female	Annotation submitted by B10K Consortium	1046027905	Scaffold	2020-07-10	VYZA01
GCA_027122295.1	ASM2712229v1	Falco rufigularis					LSUMZ FrozenTissue 12347			1196327574	Scaffold	2022-12-20	JAOPJT01
GCA_013390025.1	ASM1339002v1	Pitta sordida					B10K-DU-002-53	female	Annotation submitted by B10K Consortium	1088830872	Scaffold	2020-07-06	WEKX01
GCA_025728005.1	ASM2572800v1	Accipiter virgatus					KU 122241			1185843447	Scaffold	2022-10-17	JAOSZC01
GCA_013401335.1	ASM1340133v1	Brachypteracias leptosomus					B10K-DU-012-52	male	Annotation submitted by B10K Consortium	1125912351	Scaffold	2020-07-10	VYZX01
GCA_025727835.1	ASM2572783v1	Megatriorchis doriae					KU 96989			1194536290	Scaffold	2022-10-17	JAOEIL01
GCA_013399475.1	ASM1339947v1	Chauna torquata					B10K-DU-011-36	male	Annotation submitted by B10K Consortium	1162596281	Scaffold	2020-07-10	VXAL01
GCA_027564205.1	ASM2756420v1	Falco columbarius					FMNH birds-364097			1188729421	Scaffold	2023-01-03	JAOPUE01
GCA_013397655.1	ASM1339765v1	Chroicocephalus maculipennis					B10K-DU-021-33	female	Annotation submitted by B10K Consortium	1151142299	Scaffold	2020-07-10	VYZF01
GCA_013390065.1	ASM1339006v1	Chloropsis hardwickii					B10K-IZ-033-78	female	Annotation submitted by B10K Consortium	1054347212	Scaffold	2020-07-06	WEIW01
GCA_025727975.1	ASM2572797v1	Hieraaetus pennatus					KU 91934			1216756093	Scaffold	2022-10-17	JAOEIO01
GCA_013398715.1	ASM1339871v1	Nesospiza acunhae					OUT-0053	female	Annotation submitted by B10K Consortium	1055288411	Scaffold	2020-07-10	VZSU01
GCA_013398875.1	ASM1339887v1	Prunella himalayana					B10K-DU-013-18	male	Annotation submitted by B10K Consortium	1024611247	Scaffold	2020-07-10	VYZK01
GCA_013398225.1	ASM1339822v1	Steatornis caripensis					OUT-0004	female	Annotation submitted by B10K Consortium	1222770580	Scaffold	2020-07-10	VZSC01
GCA_027564455.1	ASM2756445v1	Falco novaeseelandiae					LSUMZ FrozenTissue 16740			1196707121	Scaffold	2023-01-03	JAOPUK01
GCA_010303855.1	BubBub1.0	Bubo bubo					eeo-nibr-513			1258069325	Scaffold	2020-02-04	PYWY01
GCA_026873725.1	ASM2687372v1	Busarellus nigricollis					KU 91625			1206635864	Scaffold	2022-12-13	JANVCM01
GCA_025727635.1	ASM2572763v1	Buteo hemilasius					KU 120830			1212276843	Scaffold	2022-10-17	JAOEIE01
GCA_009867235.2	ASM986723v2	Psittacus erithacus					MU2MI4XJKV	female		1126531736	Scaffold	2022-11-27	WYDI02
GCA_013399415.1	ASM1339941v1	Sagittarius serpentarius					B10K-DU-011-38	male	Annotation submitted by B10K Consortium	1139033624	Scaffold	2020-07-10	VWYJ01
GCA_027580075.1	ASM2758007v1	Geranoaetus polyosoma					MSB Bird 35942			1210032168	Scaffold	2023-01-06	JANZYD01
GCA_013390045.1	ASM1339004v1	Picathartes gymnocephalus					B10K-DU-012-30		Annotation submitted by B10K Consortium	1046995276	Scaffold	2020-07-06	WEKY01
GCA_013396835.1	ASM1339683v1	Psilopogon haemacephalus					B10K-DU-001-24	female	Annotation submitted by B10K Consortium	1204560348	Scaffold	2020-07-10	VWZI01
GCA_026770005.1	ASM2677000v1	Butastur indicus					KU 98340			1183181658	Scaffold	2022-12-09	JANZMB01
GCA_028565915.1	ASM2856591v1	Momotus momota					IRGN 15LBX3KN67			1123667048	Scaffold	2023-02-09	JAOXNV01
GCA_013389945.1	ASM1338994v1	Fregata magnificens					B10K-DU-002-48	female	Annotation submitted by B10K Consortium	1177430334	Scaffold	2020-07-06	WAAD01
GCA_002174335.1	ASM217433v1	Phalacrocorax brasilianus					IPA14M001			1346185690	Scaffold	2017-06-06	NFME01
GCA_013400815.1	ASM1340081v1	Centropus bengalensis					B10K-DU-017-21	female	Annotation submitted by B10K Consortium	1015638883	Scaffold	2020-07-10	WBNK01
GCA_013399075.1	ASM1339907v1	Chloroceryle aenea					B10K-DU-001-61	female	Annotation submitted by B10K Consortium	1062127307	Scaffold	2020-07-10	VWZY01
GCA_013400735.1	ASM1340073v1	Pomatostomus ruficeps					B10K-DU-002-71		Annotation submitted by B10K Consortium	1020560999	Scaffold	2020-07-10	VYZT01
GCA_013400775.1	ASM1340077v1	Chaetops frenatus					B10K-DU-012-41	female	Annotation submitted by B10K Consortium	1065444583	Scaffold	2020-07-10	VZTR01
GCA_013401235.1	ASM1340123v1	Pteruthius melanotis					B10K-IZ-033-77	male	Annotation submitted by B10K Consortium	1043915671	Scaffold	2020-07-10	WEIY01
GCA_027563805.1	ASM2756380v1	Buceros bicornis					IRGN RNM4NPQZYH			1104977868	Scaffold	2023-01-03	JAODLK01
GCA_026930665.1	ASM2693066v1	Buteo albigula					KU 127901			1186885975	Scaffold	2022-12-16	JANVCN01
GCA_026413545.1	ASM2641354v1	Cichladusa arquata					FMNH birds-452741			1062271883	Scaffold	2022-11-27	JAOTQP01
GCA_028583065.1	ASM2858306v1	Threskiornis aethiopicus					IRGN GSIOZF7F8X			1200873515	Scaffold	2023-02-10	JAPEKK01
GCA_025309795.1	ASM2530979v1	Butastur rufipennis					KU 110797			1208026759	Scaffold	2022-09-20	JANVAC01
GCA_025727715.1	ASM2572771v1	Gyps fulvus					KU 91202			1223558386	Scaffold	2022-10-17	JAOEID01
GCA_025448035.1	ASM2544803v1	Cacatua moluccensis					IRGN 39GUCMVTB3	female		1128551772	Scaffold	2022-09-27	JAOEHW01
GCA_025740775.1	ASM2574077v1	Haliaeetus leucogaster					KU 110339			1211516626	Scaffold	2022-10-18	JAOEIM01
GCA_025727815.1	ASM2572781v1	Buteo lagopus					BV3IJ70CH0			1209271270	Scaffold	2022-10-17	JAOEIH01
GCA_013400555.1	ASM1340055v1	Jacana jacana					B10K-DU-002-59	female	Annotation submitted by B10K Consortium	1085086281	Scaffold	2020-07-10	VZTM01
GCA_013398345.1	ASM1339834v1	Nothocercus nigrocapillus					B10K-MSB-02	female	Annotation submitted by B10K Consortium	1019611718	Scaffold	2020-07-10	WBNA01
GCA_026212715.1	ASM2621271v1	Elanus axillaris					KU 98282			1180842911	Scaffold	2022-11-16	JANZLQ01
GCA_025310515.1	ASM2531051v1	Buteo albonotatus					TCWC 15864			1223638346	Scaffold	2022-09-20	JANVAB01
GCA_025629985.1	ASM2562998v1	Chamaetylas fuelleborni					FMNH birds-439321			1116532645	Scaffold	2022-10-08	JAOTBB01
GCA_013396575.1	ASM1339657v1	Rhodinocichla rosea					B10K-CU-031-12	male	Annotation submitted by B10K Consortium	1031972585	Scaffold	2020-07-10	VWYZ01
GCA_027575085.1	ASM2757508v1	Geranospiza caerulescens					KU 94799			1210742078	Scaffold	2023-01-06	JANZXY01
GCA_013389985.1	ASM1338998v1	Dryoscopus gambensis					B10K-DU-002-56	female	Annotation submitted by B10K Consortium	992742094	Scaffold	2020-07-06	WEIT01
GCA_013398935.1	ASM1339893v1	Ceuthmochares aereus					B10K-CU-031-02	male	Annotation submitted by B10K Consortium	1120248821	Scaffold	2020-07-10	VWPQ01
GCA_013399555.1	ASM1339955v1	Circaetus pectoralis					B10K-DU-010-60	male	Annotation submitted by B10K Consortium	1183443218	Scaffold	2020-07-10	VZZV01
GCA_013396955.1	ASM1339695v1	Regulus satrapa					B10K-DU-001-18	female	Annotation submitted by B10K Consortium	1011445235	Scaffold	2020-07-10	VWZN01
GCA_027560335.1	ASM2756033v1	Halcyon badia					PYBLPGWE58			1169930034	Scaffold	2023-01-03	JANHOD01
GCA_013396615.1	ASM1339661v1	Oceanites oceanicus					B10K-CU-031-11	female	Annotation submitted by B10K Consortium	1178378986	Scaffold	2020-07-10	VWZA01
GCA_024499975.1	ASM2449997v1	Halcyon malimbica					47OO6CGMHP			1164777306	Scaffold	2022-08-01	JANHZY01
GCA_013400715.1	ASM1340071v1	Prunella fulvescens					B10K-DU-012-46	female	Annotation submitted by B10K Consortium	1044257540	Scaffold	2020-07-10	VZTP01
GCA_024336845.1	ASM2433684v1	Cyanopsitta spixii					Presley	male		1092480392	Scaffold	2022-07-20	JANBPP01
GCA_027564225.1	ASM2756422v1	Gallinago stenura					UAM 29454			1202133214	Scaffold	2023-01-03	JAOQGM01
GCA_027576295.1	ASM2757629v1	Cossypha polioptera					FMNH birds-385019			1087308697	Scaffold	2023-01-06	JAODHX01
GCA_027560235.1	ASM2756023v1	Halcyon leucocephala					BZQVMZ9D4M			1261864246	Scaffold	2023-01-03	JANHOC01
GCA_024611175.1	ASM2461117v1	Megaceryle torquata					PDCOFV8MGS			1183465244	Scaffold	2022-08-10	JANIJG01
GCA_024734035.1	ASM2473403v1	Alethe castanea					FMNH birds-429532			1103488593	Scaffold	2022-08-22	JANRGV01
GCA_029814625.1	ASM2981462v1	Psittacula derbiana					FMNH 68005			1094822489	Scaffold	2023-04-18	JAPWDL01
GCA_027564735.1	ASM2756473v1	Rostrhamus sociabilis					KU 90149			1212673302	Scaffold	2023-01-03	JANXJF01
GCA_013400585.1	ASM1340058v1	Chloropsis cyanopogon					B10K-DU-002-57	female	Annotation submitted by B10K Consortium	985401841	Scaffold	2020-07-10	WEZZ01
GCA_025448115.1	ASM2544811v1	Micronisus gabar					KU 110795			1301807367	Scaffold	2022-09-27	JAOEHL01
GCA_024605025.1	ASM2460502v1	Megaceryle maxima					7Q4JQACGN1			1177829103	Scaffold	2022-08-09	JANHGN01
GCA_011763455.2	ASM1176345v2	Pyrrhura perlata					RZD33AEKBQ			1124813469	Scaffold	2022-07-21	JAAGVT02
GCA_013400635.1	ASM1340063v1	Hypocryptadius cinnamomeus					B10K-DU-002-83	male	Annotation submitted by B10K Consortium	854293167	Scaffold	2020-07-10	VYZP01
GCA_027576135.1	ASM2757613v1	Cossypha dichroa					FMNH birds-390118			1091249845	Scaffold	2023-01-06	JAODHZ01
GCA_026284605.1	ASM2628460v1	Pyrrhura egregia					KU 93445			1144104950	Scaffold	2022-11-22	JANEXG01
GCA_026770345.1	ASM2677034v1	Tyrannus tyrannus					MM37UDQ48A			1089970646	Scaffold	2022-12-09	JAOYSJ01
GCA_010014865.2	ASM1001486v2	Pyrrhura frontalis					LSUMZ birdTissue 25884			1128083870	Scaffold	2022-11-27	JAAAKN02
GCA_003264655.1	ASM326465v1	Spheniscus mendiculus					GP692			1209845584	Scaffold	2018-06-25	NDGW01
GCA_025774025.1	ASM2577402v1	Xenus cinereus					UAM 41702			1173667304	Scaffold	2022-10-20	JAOXJK01
GCA_027579995.1	ASM2757999v1	Ciconia episcopus					88UE47BQU4			1214246433	Scaffold	2023-01-06	JAODXS01
GCA_027580115.1	ASM2758011v1	Sarcoramphus papa					MSB Bird 27868	female		1227506220	Scaffold	2023-01-06	JANZYG01
GCA_024331605.1	ASM2433160v1	Primolius couloni					FMNH birds-395540			1134324094	Scaffold	2022-07-19	JANDJU01
GCA_013397615.1	ASM1339761v1	Eolophus roseicapilla					B10K-DU-025-06	female	Annotation submitted by B10K Consortium	1065334762	Scaffold	2020-07-10	WBNI01
GCA_025762695.1	ASM2576269v1	Merops pusillus					SEE57XE9B0			942069649	Scaffold	2022-10-19	JAOXJO01
GCA_025584955.1	ASM2558495v1	Alethe diademata					FMNH birds-396622			1091984309	Scaffold	2022-10-05	JANRMJ01
GCA_026284525.1	ASM2628452v1	Pyrrhura melanura					FMNH birds-456474			1191394086	Scaffold	2022-11-22	JANFOK01
GCA_024337085.1	ASM2433708v1	Diopsittaca nobilis					EDP5N2HCYN			1155555443	Scaffold	2022-07-20	JANEXE01
GCA_007252995.1	ZoBo_15179_v2.0	Zosterops borbonicus				Highland grey morph	HGM_15179	female	Annotation submitted by University of Montpellier	1213662640	Scaffold	2019-07-22	SWJQ01
GCA_011763355.2	ASM1176335v2	Pyrrhura molinae					RFTQM1ZJYB			1140400741	Scaffold	2022-11-27	JAADKS02
GCA_026284565.1	ASM2628456v1	Pyrrhura orcesi					LSUMZ FrozenTissue 7803			1160083864	Scaffold	2022-11-22	JANHHA01
GCA_024496005.1	ASM2449600v1	Pyrrhura hoffmanni					LSUMZ FrozenTissue 28202			1141345635	Scaffold	2022-07-30	JANHGK01
GCA_026284705.1	ASM2628470v1	Pyrrhura amazonum					FMNH birds-389694			1177329815	Scaffold	2022-11-22	JANFON01
GCA_027574825.1	ASM2757482v1	Ciconia nigra					F7SMQ1QMFV			1210962879	Scaffold	2023-01-06	JAODXV01
GCA_013398835.1	ASM1339883v1	Emberiza fucata					B10K-DU-015-11	female	Annotation submitted by B10K Consortium	1032579516	Scaffold	2020-07-10	VYZJ01
GCA_027576195.1	ASM2757619v1	Cossypha heuglini					FMNH birds-429748			1111968159	Scaffold	2023-01-06	JAODKT01
GCA_024499995.1	ASM2449999v1	Pyrrhura lucianii					MVZ Bird 165115			1247391346	Scaffold	2022-08-01	JANIAF01
GCA_026770275.1	ASM2677027v1	Milvus milvus					KU 91933			1214435242	Scaffold	2022-12-09	JANZLG01
GCA_026284585.2	ASM2628458v2	Pyrrhura albipectus					LSUMZ FrozenTissue 6030			1142301495	Scaffold	2023-06-01	JANFOL02
GCA_026284825.2	ASM2628482v2	Pyrrhura hoematotis					UMMZ 589			1142301495	Scaffold	2023-06-01	JANFOO02
GCA_027560355.1	ASM2756035v1	Halcyon chelicuti					AAZJJ3EYYE			1190389089	Scaffold	2023-01-03	JANHGA01
GCA_011800095.2	ASM1180009v2	Guaruba guarouba					1TTDQCT4G4	female		1175317798	Scaffold	2022-07-21	JAABOC02
GCA_024331625.1	ASM2433162v1	Psittacara leucophthalmus					FMNH birds-480649			1117906707	Scaffold	2022-07-19	JANDJW01
GCA_013398035.1	ASM1339803v1	Panurus biarmicus					B10K-DU-030-18	female	Annotation submitted by B10K Consortium	919078602	Scaffold	2020-07-10	VZRT01
GCA_016545565.2	ASM1654556v2	Pyrrhura cruentata					YUI5UZIPG5			1149272071	Scaffold	2022-12-29	WUAO02
GCA_025311575.1	ASM2531157v1	Elanoides forficatus					TCWC 21022			1200198507	Scaffold	2022-09-20	JAOBAS01
GCA_013399715.1	ASM1339971v1	Alectura lathami					B10K-DU-001-39	male	Annotation submitted by B10K Consortium	1043215352	Scaffold	2020-07-10	VXAV01
GCA_026284765.1	ASM2628476v1	Thectocercus acuticaudatus					LSUMZ FrozenTissue 29884			1173634303	Scaffold	2022-11-22	JANHGZ01
GCA_028565255.1	ASM2856525v1	Megaceryle alcyon					B813CVATOM			1143515891	Scaffold	2023-02-09	JAOWAQ01
GCA_011763535.2	ASM1176353v2	Eclectus roratus					TSMLLNO8PM			1120776969	Scaffold	2022-07-21	JAAGVV02
GCA_026283785.1	ASM2628378v1	Coracopsis vasa					IRGN JDTDTU6WDF			1229970282	Scaffold	2022-11-22	JANHGB01
GCA_015163975.2	ASM1516397v2	Pyrrhura lepida					JXJJFZ24I5			1175322969	Scaffold	2022-11-27	JAABNU02
GCA_026284545.1	ASM2628454v1	Pyrrhura picta					FMNH birds-395728			1158211774	Scaffold	2022-11-22	JANHHB01
GCA_024361745.1	ASM2436174v1	Cacatua alba					IRGN DL64GI8PRG			1210837024	Scaffold	2022-07-21	JANEMJ01
GCA_011317185.2	ASM1131718v2	Eupsittula pertinax					IRGN EF1EG5NQXF			1118851761	Scaffold	2022-11-14	WUQE02
GCA_029286575.1	ASM2928657v1	Pitangus sulphuratus						female	Annotation submitted by LNCC	1037404267	Scaffold	2023-03-20	WHWA01
GCA_026413425.1	ASM2641342v1	Tringa solitaria					UAM 29982			1150739019	Scaffold	2022-11-27	JAOXJM01
GCA_027575645.1	ASM2757564v1	Cossypha caffra					FMNH birds-390125			1095826178	Scaffold	2023-01-06	JAODLH01
GCA_013390105.1	ASM1339010v1	Tichodroma muraria					B10K-DU-012-47	female	Annotation submitted by B10K Consortium	910679850	Scaffold	2020-07-06	WAAG01
GCA_025448095.1	ASM2544809v1	Poicephalus senegalus					IRGN 7Z7NC8NHDQ			1091127567	Scaffold	2022-09-27	JAOEIB01
GCA_027559835.1	ASM2755983v1	Ispidina lecontei					FFQXHTPSU3			1040822607	Scaffold	2023-01-03	JANHOA01
GCA_013400875.1	ASM1340087v1	Anhinga rufa					B10K-DU-029-28	male	Annotation submitted by B10K Consortium	1014091971	Scaffold	2020-07-10	VZTV01
GCA_025448055.1	ASM2544805v1	Pionites leucogaster					IRGN 1JVFNH76EG			1111884935	Scaffold	2022-09-27	JAOEIA01
GCA_027497815.1	ASM2749781v1	Aquila africana					LACM Birds 72636			1348391903	Scaffold	2022-12-30	JANCMH01
GCA_027580015.1	ASM2758001v1	Buteo oreophilus					LACM Birds 75171			1252721404	Scaffold	2023-01-06	JANZYC01
GCA_013400655.1	ASM1340065v1	Mystacornis crossleyi					B10K-DU-002-82	male	Annotation submitted by B10K Consortium	1116797458	Scaffold	2020-07-10	VYZQ01
GCA_025310935.1	ASM2531093v1	Henicopernis longicauda					KU 96967			1228248026	Scaffold	2022-09-20	JAOBAQ01
GCA_026937365.1	ASM2693736v1	Circus cinereus					KU 78213			1270982461	Scaffold	2022-12-16	JANZLN01
GCA_027576815.1	ASM2757681v1	Cossypha niveicapilla					FMNH birds-396613			1192623756	Scaffold	2023-01-06	JAODLG01
GCA_013401375.1	ASM1340137v1	Spizella passerina					B10K-DU-023-52	female	Annotation submitted by B10K Consortium	1018792982	Scaffold	2020-07-10	WBNQ01
GCA_013389965.1	ASM1338996v1	Todus mexicanus					B10K-DU-002-69	female	Annotation submitted by B10K Consortium	853262227	Scaffold	2020-07-06	WEIS01
GCA_026284845.1	ASM2628484v1	Orthopsittaca manilatus					FMNH birds-431777			1133062951	Scaffold	2022-11-22	JANEXM01
GCA_026109245.1	ASM2610924v1	Nisaetus alboniger					WFVZ 42302			1259162845	Scaffold	2022-11-09	JAPCIF01
GCA_013400995.1	ASM1340099v1	Oreotrochilus melanogaster					OUT-0002	male	Annotation submitted by B10K Consortium	1107792040	Scaffold	2020-07-10	VZUB01
GCA_028566575.1	ASM2856657v1	Bartramia longicauda					FMNH 395887			1192396480	Scaffold	2023-02-09	JAOXNH01
GCA_026283845.1	ASM2628384v1	Primolius maracana					FMNH birds-364612			1165565491	Scaffold	2022-11-22	JANEWZ01
GCA_027123695.1	ASM2712369v1	Chamaetylas choloensis					FMNH birds-438592			1085348988	Scaffold	2022-12-20	JAOTIW01
GCA_013400695.1	ASM1340069v1	Neodrepanis coruscans					B10K-DU-002-79	male	Annotation submitted by B10K Consortium	1024462016	Scaffold	2020-07-10	VYZS01
GCA_026283905.1	ASM2628390v1	Psittacula cyanocephala					IRGN D7CSJVRIQB			1137937419	Scaffold	2022-11-22	JANEXR01
GCA_026212835.1	ASM2621283v1	Geranoaetus albicaudatus								1237233187	Scaffold	2022-11-16	JANZLS01
GCA_001655115.1	GWplu1.0	Phylloscopus plumbeitarsus					BK2	male		997399373	Scaffold	2016-06-02	LXOY01
GCA_028566535.1	ASM2856653v1	Scolopax minor					FMNH 490390			1169656972	Scaffold	2023-02-09	JAOXNG01
GCA_010014725.2	ASM1001472v2	Ara chloropterus					8YR9EQLDWU			1164831351	Scaffold	2022-11-27	WSYR02
GCA_025447895.1	ASM2544789v1	Butastur liventer					6TRJ34J67C			1271439293	Scaffold	2022-09-27	JAOEHN01
GCA_029890015.1	ASM2989001v1	Buteogallus lacernulatus					LACM Birds-27764			1308151139	Scaffold	2023-04-27	JAQIFQ01
GCA_028566615.2	ASM2856661v2	Calidris melanotos					FMNH 446982			1260162641	Scaffold	2023-05-25	JAOWAO02
GCA_013401035.1	ASM1340103v1	Horornis vulcanius					B10K-DU-029-69	male	Annotation submitted by B10K Consortium	1223573813	Scaffold	2020-07-10	VZUA01
GCA_026770365.1	ASM2677036v1	Buteogallus coronatus					LACM Birds-114879			1226013973	Scaffold	2022-12-09	JANZLI01
GCA_025727895.1	ASM2572789v1	Melierax metabates					KU 70660			1267186076	Scaffold	2022-10-17	JAOEIK01
GCA_026261815.1	Monaracha_assembly_V1	Monarcha castaneiventris obscurior					RU430			1077791425	Scaffold	2022-11-21	JAMPIT01
GCA_024500445.1	MCZ_Ecyan_1.0	Entomyzon cyanotis					MCZ_Cryo_149706	female		1076660361	Contig	2022-08-01	JAKEPQ01
GCA_027497775.1	ASM2749777v1	Accipiter melanochlamys					KU 125095			1398011897	Scaffold	2022-12-30	JANBZU01
GCA_014706295.1	ASM1470629v1	Lycocorax pyrrhopterus obiensis		lycPyr6				female		1107771238	Scaffold	2020-09-23	JACSVZ01
GCA_017589585.1	ASM1758958v1	Phylloscopus whistleri					IOZ_xz18149	male		1112484139	Contig	2021-03-26	JADMLD01
GCA_022316685.1	UM_PSub_1	Progne subis subis		2501-71856						1165951862	Scaffold	2022-02-17	JAKJHU01
GCA_018881555.1	ASM1888155v1	Amblyornis subalaris								1108380980	Scaffold	2021-06-14	JACAXG01
GCA_003713305.1	CicReg_1.0	Cicinnurus regius					F628	female		1059540104	Scaffold	2018-11-06	RAHN01
GCA_003713295.1	ParLaw_1.0	Parotia lawesii					F631	female		1056922331	Scaffold	2018-11-06	RAHM01
GCA_003713215.1	ParRub_1.0	Paradisaea rubra					F686	female		1071261504	Scaffold	2018-11-06	RAHL01
GCA_013399015.1	ASM1339901v1	Galbula dea					B10K-DU-001-62	female	Annotation submitted by B10K Consortium	1006681283	Scaffold	2020-07-10	VWZX01
GCA_003713285.1	DipMag_1.0	Diphyllodes magnificus					F569	female		1065979660	Scaffold	2018-11-06	RAHO01
GCA_023644505.1	EAln_1.0	Empidonax alnorum					JTW1653	female		1072560169	Scaffold	2022-06-02	JAMKCP01
GCA_010078495.1	BGI_Enov.V1	Eudyptula novaehollandiae					10/9/18-1		Annotation submitted by BGI-Shenzhen	1353666924	Scaffold	2020-01-31	VULB01
GCA_013398295.1	ASM1339829v1	Chionis minor					B10K-UC-030-51		Annotation submitted by B10K Consortium	1174003224	Scaffold	2020-07-10	VZSF01
GCA_013398275.1	ASM1339827v1	Promerops cafer					B10K-UC-030-53		Annotation submitted by B10K Consortium	1043743207	Scaffold	2020-07-10	VZSE01
GCA_013399365.1	ASM1339936v1	Alopecoenas beccarii					B10K-DU-006-06	female	Annotation submitted by B10K Consortium	1115608669	Scaffold	2020-07-10	VWYH01
GCA_013397565.1	ASM1339756v1	Ptilonorhynchus violaceus					B10K-DU-012-10	female	Annotation submitted by B10K Consortium	1057848093	Scaffold	2020-07-10	VZRJ01
GCA_013398955.1	ASM1339895v1	Callaeas wilsoni					B10K-OTA-212792		Annotation submitted by B10K Consortium	1047533504	Scaffold	2020-07-10	VWPU01
GCA_029620185.1	ASM2962018v1	Melanitta fusca				wild	HKYD19072658_A	male		1152187352	Scaffold	2023-04-07	JAQQTK01
GCA_010080465.1	BGI_Emin_alb.V1	Eudyptula albosignata					Fred		Annotation submitted by BGI-Shenzhen	1370511393	Scaffold	2020-01-31	VULD01
GCA_022441285.1	AcrFamKingi1.0	Acrocephalus familiaris kingi					USFWS1600-19333			1079221614	Scaffold	2022-03-02	JAKKIJ01
GCA_002173475.1	Pharrisi_ref_V1	Phalacrocorax harrisi					CR59	male		1202994831	Scaffold	2017-06-06	NEVG01
GCA_018904545.1	ASM1890454v1	Motacilla tschutschensis					NRM 20066115			1053394660	Scaffold	2021-06-16	JAEOXG01
GCA_002592135.1	ASM259213v1	Anser brachyrhynchus		PFG001				male		1116992394	Scaffold	2017-10-19	NXHY01
GCA_900205225.1	Saxicola_maurus.2	Saxicola maurus maurus								1020367763	Scaffold	2017-09-28	OAMK01
GCA_008921705.1	REN_Boedic_1.0	Burhinus oedicnemus				Morocco	B10M00005	female		1228108199	Scaffold	2019-10-08	VFFE01
GCA_003400225.2	REN_Cundu_1.1	Chlamydotis undulata undulata				North Africa		male		1167170754	Scaffold	2020-12-15	QKYM02
GCA_010078485.1	BGI_Mant.V1	Megadyptes antipodes antipodes					OT 2 9/2/18		Annotation submitted by BGI-Shenzhen	1314943623	Scaffold	2020-01-31	VULA01
GCA_010085365.1	BGI_Echrysoc_fil.V1	Eudyptes filholi					GS 12		Annotation submitted by BGI-Shenzhen	1223976468	Scaffold	2020-01-31	VULK01
GCA_013398615.1	ASM1339861v1	Brachypodius atriceps					OUT-0037	female	Annotation submitted by B10K Consortium	906727256	Scaffold	2020-07-10	VZSR01
GCA_010078445.1	BGI_Escl.V1	Eudyptes sclateri					Ant 5		Annotation submitted by BGI-Shenzhen	1211402317	Scaffold	2020-01-31	VULE01
GCA_013400475.1	ASM1340047v1	Tricholaema leucomelas					B10K-DU-002-37	female	Annotation submitted by B10K Consortium	1236242119	Scaffold	2020-07-10	WAAF01
GCA_013399295.1	ASM1339929v1	Piprites chloris					B10K-DU-007-02	male	Annotation submitted by B10K Consortium	1054003917	Scaffold	2020-07-10	VXAH01
GCA_013400375.1	ASM1340037v1	Thinocorus orbignyianus					B10K-DU-002-47	female	Annotation submitted by B10K Consortium	1092410525	Scaffold	2020-07-10	VXBW01
GCA_013399595.1	ASM1339959v1	Glaucidium brasilianum					B10K-DU-008-63	female	Annotation submitted by B10K Consortium	1170141437	Scaffold	2020-07-10	VXAP01
GCA_013400215.1	ASM1340021v1	Cisticola juncidis					B10K-DU-002-30	male	Annotation submitted by B10K Consortium	1016620075	Scaffold	2020-07-10	VXBR01
GCA_013400055.1	ASM1340005v1	Nycticryphes semicollaris					B10K-DU-002-14		Annotation submitted by B10K Consortium	1126083395	Scaffold	2020-07-10	VXBJ01
GCA_013397495.1	ASM1339749v1	Mionectes macconnelli					B10K-DU-003-16	female	Annotation submitted by B10K Consortium	1042002978	Scaffold	2020-07-10	VYZC01
GCA_013396505.1	ASM1339650v1	Chunga burmeisteri					B10K-CU-031-22	female	Annotation submitted by B10K Consortium	1168693490	Scaffold	2020-07-10	VZRC01
GCA_013396935.1	ASM1339693v1	Baryphthengus martii					B10K-DU-001-21	female	Annotation submitted by B10K Consortium	1100876976	Scaffold	2020-07-10	VWZK01
GCA_009690805.1	HemiWil1.0	Hemignathus wilsoni					USGS band number 1581-74856	male		1032496179	Scaffold	2019-11-22	SGIP01
GCA_002173435.1	ASM217343v1	Phalacrocorax pelagicus					AR-AK-E1			1210663266	Scaffold	2017-06-06	NFMD01
GCA_013396465.1	ASM1339646v1	Smithornis capensis					B10K-CU-031-20		Annotation submitted by B10K Consortium	1061320296	Scaffold	2020-07-10	VWYW01
GCA_013397315.1	ASM1339731v1	Donacobius atricapilla					B10K-DU-001-63	female	Annotation submitted by B10K Consortium	1054188209	Scaffold	2020-07-10	WBMY01
GCA_013398815.1	ASM1339881v1	Ibidorhyncha struthersii					B10K-DU-030-25	male	Annotation submitted by B10K Consortium	1198770542	Scaffold	2020-07-10	VZSZ01
GCA_013400075.1	ASM1340007v1	Hippolais icterina					B10K-DU-002-18	female	Annotation submitted by B10K Consortium	1048398027	Scaffold	2020-07-10	VWYN01
GCA_013401115.1	ASM1340111v1	Calonectris borealis					OUT-0025	female	Annotation submitted by B10K Consortium	1166068492	Scaffold	2020-07-10	VZUG01
GCA_013401135.1	ASM1340113v1	Cettia cetti					OUT-0056	male	Annotation submitted by B10K Consortium	1051752767	Scaffold	2020-07-10	VZUI01
